ID player,amplua,time,G,As,TB,Shot,BT,pm,dev_As,dev_BT,dev_G,dev_Shot,dev_TB,dev_pm,dev_time
164.00,10.00,13.24,0.11,0.11,1.43,2.50,1.00,-0.33,-50.05,-21.53,-66.00,-10.27,-30.00,-208.19,-12.64
167.00,9.00,18.71,0.00,0.00,1.00,1.00,1.67,-2.17,-100.00,9.94,-100.00,-49.08,-46.97,-1077.33,15.93
168.00,10.00,16.56,0.43,0.29,1.86,2.66,1.27,0.00,31.70,-0.35,32.90,-4.53,-8.96,100.00,9.26
169.00,9.00,17.50,0.08,0.18,2.10,1.79,1.33,0.14,36.94,-12.44,-29.05,-8.85,11.36,175.96,8.43
170.00,9.00,16.39,0.08,0.08,2.17,2.17,1.55,-0.20,-39.14,2.04,-29.05,10.50,15.07,-8.51,1.55
172.00,10.00,18.30,0.18,0.33,1.93,2.47,1.33,-0.15,49.86,4.36,-44.37,-11.35,-5.53,-40.09,20.74
174.00,10.00,16.84,0.32,0.28,1.80,3.18,1.14,-0.39,27.16,-10.55,-1.10,14.13,-11.89,-264.23,11.11
175.00,10.00,12.46,0.12,0.08,1.63,2.53,1.00,0.22,-63.67,-21.53,-62.91,-9.20,-20.22,305.46,-17.79
176.00,10.00,16.60,0.06,0.25,1.20,2.00,1.25,-0.17,13.53,-1.92,-81.46,-28.22,-41.26,-58.77,9.53
180.00,10.00,14.98,0.19,0.33,2.59,1.82,1.20,0.25,49.86,-5.84,-41.28,-34.68,26.77,333.48,-1.16
181.00,9.00,14.86,0.03,0.13,1.21,1.22,1.90,0.50,-1.10,25.08,-73.40,-37.87,-35.84,371.27,-7.93
182.00,10.00,15.97,0.40,0.20,2.75,4.00,1.00,0.25,-9.17,-21.53,23.62,43.56,34.61,333.48,5.37
184.00,10.00,13.96,0.26,0.31,1.33,2.37,1.00,0.00,40.78,-21.53,-19.64,-14.94,-34.90,100.00,-7.89
185.00,10.00,19.22,0.14,0.00,2.67,2.38,1.00,0.42,-100.00,-21.53,-56.73,-14.58,30.69,492.24,26.81
186.00,10.00,10.48,0.12,0.15,1.33,1.82,1.12,-0.03,-31.88,-12.12,-62.91,-34.68,-34.90,71.98,-30.85
187.00,10.00,12.45,0.12,0.19,1.64,1.81,1.44,-0.04,-13.71,12.99,-62.91,-35.04,-19.73,62.64,-17.85
190.00,10.00,16.77,0.45,0.39,1.69,2.48,1.24,-0.23,77.11,-2.70,39.08,-10.99,-17.28,-114.80,10.65
191.00,9.00,15.10,0.05,0.05,2.14,1.55,2.10,-0.12,-61.96,38.25,-55.66,-21.07,13.48,34.89,-6.44
193.00,10.00,19.65,1.13,0.33,2.77,5.87,1.50,0.80,49.86,17.70,249.24,110.67,35.58,847.13,29.65
194.00,10.00,20.17,0.57,0.54,2.39,3.67,1.47,0.44,145.23,15.34,76.16,31.72,16.98,510.92,33.08
198.00,10.00,10.80,0.00,0.00,1.00,,,-1.00,-100.00,,-100.00,,-51.05,-833.91,-28.74
202.00,9.00,19.38,0.19,0.27,1.67,2.03,1.44,-0.11,105.40,-5.20,68.50,3.38,-11.44,40.32,20.08
203.00,10.00,16.91,0.27,0.25,1.75,2.26,1.15,-0.23,13.53,-9.76,-16.55,-18.89,-14.34,-114.80,11.57
204.00,10.00,14.89,0.21,0.00,2.15,1.88,1.00,-0.67,-100.00,-21.53,-35.10,-32.53,5.24,-525.72,-1.76
206.00,10.00,16.88,0.00,0.00,,1.00,,-3.00,-100.00,,-100.00,-64.11,,-2701.74,11.37
207.00,9.00,19.82,0.05,0.14,1.50,1.72,1.20,-0.30,6.51,-21.00,-55.66,-12.41,-20.46,-62.76,22.80
208.00,10.00,18.38,0.83,0.36,3.13,5.31,1.45,0.16,63.49,13.77,156.52,90.58,53.21,249.43,21.27
209.00,10.00,14.57,0.25,0.22,1.61,3.19,1.50,-0.13,-0.09,17.70,-22.74,14.49,-21.19,-21.41,-3.87
210.00,9.00,25.11,0.00,0.40,1.60,1.00,1.00,-1.20,204.30,-34.17,-100.00,-49.08,-15.16,-551.06,55.58
213.00,9.00,17.75,0.00,0.55,2.00,1.20,1.25,1.22,318.41,-17.71,-100.00,-38.89,6.05,761.91,9.98
214.00,10.00,12.93,0.29,0.00,1.92,3.19,1.00,0.21,-100.00,-21.53,-10.37,14.49,-6.02,296.12,-14.69
215.00,9.00,15.34,0.00,0.00,1.60,1.14,1.45,-0.21,-100.00,-4.55,-100.00,-41.95,-15.16,-13.94,-4.95
216.00,9.00,16.19,0.10,0.00,1.53,1.93,1.21,-0.29,-100.00,-20.34,-11.32,-1.72,-18.87,-57.34,0.31
224.00,10.00,18.23,0.75,1.00,2.67,6.00,2.00,1.00,354.13,56.93,131.79,115.34,30.69,1033.91,20.28
227.00,9.00,19.03,0.06,0.19,1.79,1.53,2.27,-0.94,44.54,49.44,-46.79,-22.09,-5.08,-410.00,17.91
228.00,10.00,10.50,0.15,0.15,1.63,2.08,1.33,-0.26,-31.88,4.36,-53.64,-25.35,-20.22,-142.82,-30.72
230.00,10.00,16.93,0.25,0.50,2.00,2.50,1.00,-1.25,127.07,-21.53,-22.74,-10.27,-2.10,-1067.39,11.70
231.00,10.00,17.71,0.17,0.06,2.56,2.13,1.20,-0.60,-72.75,-5.84,-47.46,-23.55,25.31,-460.35,16.85
234.00,10.00,15.21,0.93,0.21,2.36,4.38,1.00,0.08,-4.63,-21.53,187.43,57.20,15.52,174.71,0.36
235.00,9.00,13.57,0.00,0.05,1.71,1.14,1.25,0.18,-61.96,-17.71,-100.00,-41.95,-9.32,197.66,-15.92
244.00,9.00,16.28,0.46,0.25,3.15,3.83,1.25,-0.24,90.19,-17.71,307.94,95.04,67.03,-30.21,0.87
246.00,10.00,13.58,0.00,0.00,1.00,1.50,2.00,-1.50,-100.00,56.93,-100.00,-46.16,-51.05,-1300.87,-10.40
247.00,10.00,10.21,0.09,0.09,1.64,1.75,1.00,-1.00,-59.13,-21.53,-72.18,-37.19,-19.73,-833.91,-32.63
248.00,10.00,17.47,0.00,0.25,1.00,2.67,1.00,-1.67,13.53,-21.53,-100.00,-4.17,-51.05,-1459.64,15.27
251.00,10.00,16.74,0.57,0.14,2.00,3.14,1.40,-0.71,-36.42,9.85,76.16,12.69,-2.10,-563.08,10.45
252.00,9.00,16.54,0.20,0.13,2.14,2.00,1.29,0.08,-1.10,-15.08,77.36,1.85,13.48,143.40,2.48
256.00,9.00,19.98,0.43,0.21,2.14,2.98,1.32,0.78,59.76,-13.10,281.33,51.75,13.48,523.19,23.79
262.00,10.00,14.14,0.66,0.16,2.48,4.13,1.00,0.58,-27.34,-21.53,103.98,48.23,21.39,641.67,-6.70
263.00,10.00,12.22,0.26,0.06,1.29,1.60,1.25,-0.29,-72.75,-1.92,-19.64,-42.58,-36.86,-170.84,-19.37
265.00,9.00,17.35,0.00,0.40,1.33,2.00,1.67,-0.67,204.30,9.94,-100.00,1.85,-29.47,-263.51,7.50
269.00,9.00,13.86,0.50,0.50,1.50,1.50,,0.00,280.38,,343.41,-23.61,-20.46,100.00,-14.12
272.00,10.00,15.48,0.67,0.33,2.00,4.12,1.75,1.29,49.86,37.31,107.07,47.87,-2.10,1304.75,2.14
273.00,9.00,22.12,0.09,0.09,1.67,2.00,1.50,0.91,-31.53,-1.25,-20.19,1.85,-11.44,593.72,37.05
274.00,10.00,18.11,0.09,0.11,1.77,1.79,1.88,-0.17,-50.05,47.52,-72.18,-35.76,-13.36,-58.77,19.49
277.00,9.00,18.61,0.22,0.11,1.81,2.60,1.62,-0.22,-16.32,6.65,95.10,32.40,-4.02,-19.36,15.31
281.00,10.00,12.52,0.11,0.11,1.41,1.52,1.48,-0.06,-50.05,16.13,-66.00,-45.45,-30.98,43.97,-17.39
282.00,10.00,14.96,0.00,0.00,1.00,2.00,1.00,-1.00,-100.00,-21.53,-100.00,-28.22,-51.05,-833.91,-1.29
283.00,9.00,18.81,0.18,0.09,1.78,1.89,1.00,0.10,-31.53,-34.17,59.63,-3.75,-5.61,154.25,16.55
285.00,10.00,14.42,0.17,0.33,2.50,3.33,,0.00,49.86,,-47.46,19.51,22.37,100.00,-4.86
287.00,9.00,16.43,0.00,0.14,1.29,1.50,1.36,0.50,6.51,-10.47,-100.00,-23.61,-31.60,371.27,1.80
288.00,10.00,14.95,0.42,0.36,1.81,2.63,1.18,0.20,63.49,-7.41,29.81,-5.61,-11.40,286.78,-1.36
289.00,10.00,17.52,0.13,0.27,1.80,2.62,1.00,0.17,22.62,-21.53,-59.82,-5.97,-11.89,258.77,15.60
292.00,9.00,14.30,0.00,0.09,1.40,1.33,1.77,-1.00,-31.53,16.52,-100.00,-32.27,-25.76,-442.55,-11.40
294.00,9.00,22.63,0.05,0.14,1.67,1.87,2.21,-0.65,6.51,45.49,-55.66,-4.77,-11.44,-252.66,40.21
295.00,10.00,14.94,0.24,0.10,1.89,2.54,1.20,-0.91,-54.59,-5.84,-25.83,-8.84,-7.49,-749.86,-1.43
298.00,10.00,14.45,0.31,0.19,1.75,2.07,1.00,-0.43,-13.71,-21.53,-4.19,-25.71,-14.34,-301.58,-4.66
299.00,10.00,17.56,0.25,0.27,1.30,2.00,1.11,-0.40,22.62,-12.90,-22.74,-28.22,-36.37,-273.57,15.86
301.00,9.00,14.05,0.00,0.00,1.00,2.00,1.00,1.00,-100.00,-34.17,-100.00,1.85,-46.97,642.55,-12.95
302.00,10.00,12.68,0.17,0.17,1.48,2.24,1.00,-0.86,-22.80,-21.53,-47.46,-19.61,-27.56,-703.17,-16.34
303.00,9.00,20.07,0.17,0.17,2.67,2.75,1.00,-0.25,29.33,-34.17,50.76,40.04,41.58,-35.64,24.35
305.00,10.00,15.56,0.44,0.34,1.80,3.21,1.38,-0.46,54.41,8.28,35.99,15.21,-11.89,-329.60,2.67
314.00,10.00,15.44,0.61,0.33,2.88,4.33,1.25,0.18,49.86,-1.92,88.53,55.40,40.97,268.10,1.87
328.00,10.00,12.29,0.30,0.10,1.87,2.93,1.50,0.83,-54.59,17.70,-7.28,5.16,-8.47,875.15,-18.91
333.00,10.00,12.76,0.34,0.34,2.62,3.43,1.20,0.26,54.41,-5.84,5.08,23.10,28.24,342.82,-15.81
334.00,10.00,14.44,0.22,0.22,1.50,2.74,1.29,0.30,-0.09,1.22,-32.01,-1.66,-26.58,380.17,-4.72
343.00,9.00,16.33,0.19,0.29,1.94,2.14,1.67,-0.05,120.62,9.94,68.50,8.98,2.87,72.87,1.18
349.00,9.00,23.45,0.00,1.00,1.00,5.00,1.00,-1.00,660.75,-34.17,-100.00,154.62,-46.97,-442.55,45.29
351.00,9.00,20.27,0.00,0.33,1.50,1.00,1.00,-3.00,151.05,-34.17,-100.00,-49.08,-20.46,-1527.65,25.59
353.00,9.00,10.76,0.00,0.04,1.70,1.62,2.00,-0.06,-69.57,31.66,-100.00,-17.50,-9.85,67.45,-33.33
354.00,10.00,21.00,0.40,0.60,2.00,6.20,1.00,0.20,172.48,-21.53,23.62,122.52,-2.10,286.78,38.56
356.00,9.00,22.20,0.17,0.17,2.33,2.71,2.64,-0.07,29.33,73.79,50.76,38.00,23.55,62.02,37.55
360.00,10.00,11.19,0.22,0.14,1.35,2.24,1.00,-0.21,-36.42,-21.53,-32.01,-19.61,-33.92,-96.12,-26.17
362.00,9.00,17.05,0.57,0.20,2.24,3.27,1.24,0.76,52.15,-18.37,405.49,66.52,18.78,512.34,5.64
364.00,10.00,13.01,0.25,0.25,1.33,2.25,2.00,0.25,13.53,56.93,-22.74,-19.25,-34.90,333.48,-14.16
365.00,10.00,1.93,0.00,0.00,,,,,-100.00,,-100.00,,,,-87.27
366.00,10.00,12.43,0.31,0.29,2.03,2.19,1.33,-0.25,31.70,4.36,-4.19,-21.40,-0.64,-133.48,-17.99
369.00,10.00,12.87,0.43,0.16,1.81,2.72,1.00,-0.19,-27.34,-21.53,32.90,-2.38,-11.40,-77.44,-15.08
370.00,9.00,9.59,0.00,0.00,1.00,1.33,1.00,0.00,-100.00,-34.17,-100.00,-32.27,-46.97,100.00,-40.58
372.00,9.00,15.05,0.07,0.07,1.35,1.08,1.74,0.57,-46.75,14.55,-37.92,-45.00,-28.41,409.25,-6.75
374.00,9.00,15.80,0.40,0.10,2.00,2.57,1.00,0.83,-23.92,-34.17,254.73,30.87,6.05,550.32,-2.10
375.00,10.00,15.83,0.53,0.31,1.93,3.30,1.25,0.64,40.78,-1.92,63.80,18.44,-5.53,697.71,4.45
376.00,10.00,8.46,0.17,0.00,1.50,1.80,,-1.00,-100.00,,-47.46,-35.40,-26.58,-833.91,-44.18
377.00,10.00,13.07,0.27,0.09,2.00,3.75,1.00,-0.14,-59.13,-21.53,-16.55,34.59,-2.10,-30.75,-13.76
378.00,10.00,15.96,0.29,0.25,2.64,3.40,1.75,-0.27,13.53,37.31,-10.37,22.03,29.22,-152.16,5.30
380.00,10.00,12.30,0.62,0.25,1.67,3.32,1.00,1.05,13.53,-21.53,91.62,19.15,-18.26,1080.61,-18.84
381.00,9.00,16.57,0.19,0.12,1.60,1.60,2.10,-0.42,-8.71,38.25,68.50,-18.52,-15.16,-127.87,2.67
385.00,9.00,19.62,0.50,0.50,1.50,4.00,,1.50,280.38,,343.41,103.70,-20.46,913.82,21.56
387.00,10.00,20.26,0.39,0.44,2.02,2.98,1.00,-0.39,99.82,-21.53,20.53,6.95,-1.13,-264.23,33.68
388.00,10.00,13.81,0.31,0.20,1.68,2.37,1.33,-0.66,-9.17,4.36,-4.19,-14.94,-17.77,-516.38,-8.88
393.00,10.00,15.15,0.04,0.08,1.50,1.81,1.00,-1.15,-63.67,-21.53,-87.64,-35.04,-26.58,-974.00,-0.04
397.00,9.00,17.94,0.14,0.16,1.93,2.14,1.19,0.15,21.72,-21.66,24.16,8.98,2.34,181.38,11.15
399.00,9.00,17.59,0.28,0.09,1.93,2.34,1.54,-0.14,-31.53,1.38,148.31,19.16,2.34,24.04,8.99
402.00,9.00,16.81,0.06,0.11,1.25,1.25,1.50,0.43,-16.32,-1.25,-46.79,-36.35,-33.72,333.30,4.15
405.00,10.00,10.30,0.00,0.06,1.33,2.29,2.00,-1.27,-72.75,56.93,-100.00,-17.81,-34.90,-1086.07,-32.04
406.00,10.00,15.24,0.37,0.17,2.18,3.54,1.00,0.07,-22.80,-21.53,14.35,27.05,6.71,165.37,0.55
407.00,9.00,15.43,0.14,0.10,1.58,1.76,1.44,0.78,-23.92,-5.20,24.16,-10.37,-16.22,523.19,-4.40
408.00,10.00,13.20,0.11,0.11,1.57,2.40,1.00,-1.40,-50.05,-21.53,-66.00,-13.86,-23.15,-1207.48,-12.91
409.00,10.00,13.92,0.38,0.38,2.17,2.75,1.00,1.25,72.57,-21.53,17.44,-1.30,6.22,1267.39,-8.16
410.00,10.00,16.77,0.46,0.41,2.21,3.49,1.20,0.50,86.19,-5.84,42.17,25.26,8.17,566.96,10.65
412.00,9.00,12.61,0.05,0.19,1.33,1.50,1.60,0.00,44.54,5.33,-55.66,-23.61,-29.47,100.00,-21.87
415.00,10.00,14.59,0.21,0.28,1.43,2.23,1.35,0.17,27.16,5.93,-35.10,-19.97,-30.00,258.77,-3.73
418.00,10.00,14.74,0.25,0.08,2.38,2.45,1.00,-0.20,-63.67,-21.53,-22.74,-12.07,16.50,-86.78,-2.74
419.00,10.00,13.60,0.18,0.24,1.70,1.79,1.48,0.09,8.99,16.13,-44.37,-35.76,-16.79,184.05,-10.27
429.00,10.00,9.10,0.00,0.00,2.00,1.33,,-0.67,-100.00,,-100.00,-52.27,-2.10,-525.72,-39.96
435.00,9.00,15.97,0.18,0.05,1.72,1.62,1.43,0.69,-61.96,-5.86,59.63,-17.50,-8.79,474.36,-1.05
438.00,9.00,11.95,0.04,0.22,1.25,1.70,1.20,-1.20,67.37,-21.00,-64.53,-13.43,-33.72,-551.06,-25.96
444.00,9.00,20.47,0.04,0.12,2.07,2.18,2.00,-0.05,-8.71,31.66,-64.53,11.01,9.77,72.87,26.83
445.00,10.00,18.63,0.31,0.04,1.95,3.36,1.50,-0.50,-81.83,17.70,-4.19,20.59,-4.55,-366.96,22.92
446.00,9.00,13.16,0.08,0.15,1.25,1.00,1.57,-0.36,14.11,3.35,-29.05,-49.08,-33.72,-95.32,-18.46
447.00,9.00,27.58,0.00,0.00,2.00,1.00,,-3.00,-100.00,,-100.00,-49.08,6.05,-1527.65,70.88
448.00,10.00,18.81,0.00,0.29,2.75,2.14,1.00,-1.86,31.70,-21.53,-100.00,-23.20,34.61,-1637.08,24.11
450.00,9.00,21.77,0.00,0.18,2.29,2.33,2.00,-0.88,36.94,31.66,-100.00,18.65,21.43,-377.44,34.89
451.00,10.00,17.28,0.00,0.00,1.57,3.67,1.00,-2.50,-100.00,-21.53,-100.00,31.72,-23.15,-2234.79,14.01
452.00,9.00,14.79,0.09,0.05,1.80,1.36,1.36,0.53,-61.96,-10.47,-20.19,-30.74,-4.55,387.55,-8.36
453.00,10.00,12.31,0.27,0.36,1.80,2.62,1.00,1.43,63.49,-21.53,-16.55,-5.97,-11.89,1435.50,-18.78
454.00,9.00,11.70,0.10,0.10,2.80,4.50,2.00,-0.57,-23.92,31.66,-11.32,129.16,48.48,-209.25,-27.51
456.00,9.00,17.47,0.02,0.23,1.79,2.32,1.61,0.97,74.97,5.99,-82.26,18.14,-5.08,626.27,8.24
459.00,10.00,8.14,0.33,1.33,,1.33,,0.50,504.00,,1.99,-52.27,,566.96,-46.29
460.00,10.00,14.23,0.08,0.14,1.25,1.72,1.30,-0.02,-36.42,2.01,-75.28,-38.27,-38.82,81.32,-6.11
461.00,10.00,13.80,0.19,0.06,1.43,2.46,1.00,-0.58,-72.75,-21.53,-41.28,-11.71,-30.00,-441.67,-8.95
464.00,10.00,12.80,0.50,0.50,3.00,1.50,,2.50,127.07,,54.53,-46.16,46.84,2434.79,-15.55
465.00,10.00,2.20,0.00,0.00,,,,,-100.00,,-100.00,,,,-85.48
466.00,10.00,12.21,0.20,0.10,1.25,1.29,,-1.50,-54.59,,-38.19,-53.70,-38.82,-1300.87,-19.44
467.00,10.00,16.37,0.50,0.28,2.31,2.81,1.33,-0.13,27.16,4.36,54.53,0.85,13.07,-21.41,8.01
474.00,10.00,16.44,0.61,0.68,2.31,3.74,1.33,1.00,208.81,4.36,88.53,34.23,13.07,1033.91,8.47
479.00,10.00,14.51,0.37,0.21,1.45,2.35,1.67,0.42,-4.63,31.04,14.35,-15.66,-29.03,492.24,-4.26
480.00,10.00,13.85,0.12,0.12,1.62,1.90,1.00,-0.18,-45.50,-21.53,-62.91,-31.81,-20.70,-68.10,-8.62
